《日本、中國常用漢字對照表第七》
序號        日本常用漢字        大陸簡化漢字        臺灣正體漢字        香港正體漢字
　        MS P明朝        MS Song        DFKai-SB        MingLiU
〔ア行〕   　        　        　        　
1        亜        亚        亞        亞
2        哀        哀        哀        哀
3        愛        爱        愛        愛
4        悪        恶        惡        惡
5        握        握        握        握
6        圧        压        壓        壓
7        扱        扱        扱        扱
8        安        安        安        安
9        案        案        案        案
10        暗        暗        暗        暗
11        以        以        以        以
12        衣        衣        衣        衣
13        位        位        位        位
14        囲        围        圍        圍
15        医        医        醫        醫
16        依        依        依        依
17        委        委        委        委
18        威        威        威        威
19        胃        胃        胃        胃
20        為        为        為        為
21        尉        尉        尉        尉
22        異        异        異        異
23        移        移        移        移
24        偉        伟        偉        偉
25        意        意        意        意
26        違        违        違        違
27        維        维        維        維
28        慰        慰        慰        慰
29        遺        遗        遺        遺
30        緯        纬        緯        緯
31        域        域        域        域
32        育        育        育        育
33        一        一        一        一
34        壱        壹        壹        壹
35        逸        逸        逸        逸
36        芋        芋        芋        芋
37        引        引        引        引
38        印        印        印        印
39        因        因        因        因
40        姻        姻        姻        姻
41        員        员        員        員
42        院        院        院        院
43        陰        阴        陰        陰
44        飲        饮        飲        飲
45        隠        隐        隱        隱
46        韻        韵        韻        韻
47        右        右        右        右
48        宇        宇        宇        宇
49        羽        羽        羽        羽
50        雨        雨        雨        雨
51        運        运        運        運
52        雲        云        雲        雲
53        永        永        永        永
54        泳        泳        泳        泳
55        英        英        英        英
56        映        映        映        映
57        栄        荣        榮        榮
58        営        营        營        營
59        詠        咏        詠        詠
60        影        影        影        影
61        鋭        锐        銳        鋭
62        衛        卫        衛        衞
63        易        易        易        易
64        疫        疫        疫        疫
65        益        益        益        益
66        液        液        液        液
67        駅        驿        驛        驛
68        悦        悦        悅        悦
69        越        越        越        越
70        謁        谒        謁        謁
71        閲        阅        閱        閲
72        円        圆        圓        圓
73        延        延        延        延
74        沿        沿        沿        沿
75        炎        炎        炎        炎
76        宴        宴        宴        宴
77        援        援        援        援
78        園        园        園        園
79        煙        烟        煙        煙
80        猿        猿        猿        猿
81        遠        远        遠        遠
82        鉛        铅        鉛        鉛
83        塩        盐        鹽        鹽
84        演        演        演        演
85        縁        缘        緣        緣
86        汚        污        汙        污
87        王        王        王        王
88        凹        凹        凹        凹
89        央        央        央        央
90        応        应        應        應
91        往        往        往        往
92        押        押        押        押
93        欧        欧        歐        歐
94        殴        殴        毆        毆
95        桜        樱        櫻        櫻
96        翁        翁        翁        翁
97        奥        奥        奧        奧
98        横        横        橫        橫
99        屋        屋        屋        屋
100        億        亿        億        億
101        憶        忆        憶        憶
102        虞        虞        虞        虞
103        乙        乙        乙        乙
104        卸        卸        卸        卸
105        音        音        音        音
106        恩        恩        恩        恩
107        温        温        溫        温
108        穏        稳        穩        穩
〔カ行〕        　        　        　        　
109        下        下        下        下
110        化        化        化        化
111        火        火        火        火
112        加        加        加        加
113        可        可        可        可
114        仮        假        假        假
115        何        何        何        何
116        花        花        花        花
117        佳        佳        佳        佳
118        価        价        價        價
119        果        果        果        果
120        河        河        河        河
121        科        科        科        科
122        架        架        架        架
123        夏        夏        夏        夏
124        家        家        家        家
125        荷        荷        荷        荷
126        華        华        華        華
127        菓        菓        菓        菓
128        貨        货        貨        貨
129        渦        涡        渦        渦
130        過        过        過        過
131        嫁        嫁        嫁        嫁
132        暇        暇        暇        暇
133        禍        祸        禍        禍
134        靴        靴        靴        靴
135        寡        寡        寡        寡
136        歌        歌        歌        歌
137        箇        个        箇        箇
138        稼        稼        稼        稼
139        課        课        課        課
140        蚊        蚊        蚊        蚊
141        我        我        我        我
142        画        画        畫        畫
143        芽        芽        芽        芽
144        賀        贺        賀        賀
145        雅        雅        雅        雅
146        餓        饿        餓        餓
147        介        介        介        介
148        回        回        回        回
149        灰        灰        灰        灰
150        会        会        會        會
151        快        快        快        快
152        戒        戒        戒        戒
153        改        改        改        改
154        怪        怪        怪        怪
155        拐        拐        拐        拐
156        悔        悔        悔        悔
157        海        海        海        海
158        界        界        界        界
159        皆        皆        皆        皆
160        械        械        械        械
161        絵        绘        繪        繪
162        開        开        開        開
163        階        阶        階        階
164        解        解        解        解
165        塊        块        塊        塊
166        壊        坏        壞        壞
167        懐        怀        懷        懷
168        貝        贝        貝        貝
169        外        外        外        外
170        劾        劾        劾        劾
171        害        害        害        害
172        涯        涯        涯        涯
173        街        街        街        街
174        慨        慨        慨        慨
175        該        该        該        該
176        概        概        概        概
177        垣        垣        垣        垣
178        各        各        各        各
179        角        角        角        角
180        拡        扩        擴        擴
181        革        革        革        革
182        格        格        格        格
183        核        核        核        核
184        殻        壳        殼        殼
185        郭        郭        郭        郭
186        覚        觉        覺        覺
187        較        较        較        較
188        隔        隔        隔        隔
189        閣        阁        閣        閣
190        確        确        確        確
191        獲        获        獲        獲
192        嚇        吓        嚇        嚇
193        穫        获        穫        穫
194        学        学        學        學
195        岳        岳        嶽        嶽
196        楽        乐        樂        樂
197        額        额        額        額
198        掛        挂        掛        掛
199        潟        潟        潟        潟
200        括        括        括        括
201        活        活        活        活
202        喝        喝        喝        喝
203        渇        渴        渴        渴
204        割        割        割        割
205        滑        滑        滑        滑
206        褐        褐        褐        褐
207        轄        辖        轄        轄
208        且        且        且        且
209        株        株        株        株
210        刈        刈        刈        刈
211        干        干        干        干
212        刊        刊        刊        刊
213        甘        甘        甘        甘
214        汗        汗        汗        汗
215        缶        罐        罐        罐
216        完        完        完        完
217        肝        肝        肝        肝
218        官        官        官        官
219        冠        冠        冠        冠
220        巻        卷        卷        卷
221        看        看        看        看
222        陥        陷        陷        陷
223        乾        干、乾        乾        乾
224        勘        勘        勘        勘
225        患        患        患        患
226        貫        贯        貫        貫
227        寒        寒        寒        寒
228        喚        唤        喚        喚
229        堪        堪        堪        堪
230        換        换        換        換
231        敢        敢        敢        敢
232        棺        棺        棺        棺
233        款        款        款        款
234        間        间        間        間
235        閑        闲        閑        閑
236        勧        劝        勸        勸
237        寛        宽        寬        寬
238        幹        干        幹        幹
239        感        感        感        感
240        漢        汉        漢        漢
241        慣        惯        慣        慣
242        管        管        管        管
243        関        关        關        關
244        歓        欢        歡        歡
245        監        监        監        監
246        緩        缓        緩        緩
247        憾        憾        憾        憾
248        還        还        還        還
249        館        馆        館        館
250        環        环        環        環
251        簡        简        簡        簡
252        観        观        觀        觀
253        艦        舰        艦        艦
