《非等同異體字整理表第四》
序號        合字        異體字        註釋
　        　        　        　
1        抱        抱、菢        抱本義①用手臂圍住，如抱著；②心裏存著，如抱歉；③孵化。菢衹有③義。
2        叉        叉、扠        衹義為用叉子扎取時才用扠，如扠魚。
3        尺        尺、呎        英呎，其它用尺，如市尺、尺寸。
4        寸        寸、吋         英吋，其它用寸，如市寸、尺寸。
5        瀆        瀆、凟        瀆本義①水溝、溝渠；②褻瀆、不恭敬。凟衹有②義。二字不完全相通。
6        杜        杜、𢾖        杜本義①杜樹；②阻塞、杜絕；③杜鵑；④杜撰。𢾖衹有②之義。
7        夫        夫、伕        夫本義①fū，舊時成年男子的通稱，如農夫、漁夫，引申義為服勞役的人，如夫役；②fū，丈夫；③fú，文言發語詞、語氣助詞。伕衹有夫義①。
8        桴        桴、枹        桴本義為①筏子；②鼓槌。枹衹有桴義②。
9        格        格、挌        義為打、擊時用挌，如挌鬥、挌殺。其它用格。
10        栝        栝、䒷        栝guā義為栝樹（檜guì樹）。䒷guā義為䒷蔞lóu。
11        圭        圭、珪        圭本義①古代帝王、諸侯在舉行典禮時拿的一種玉器；②古代測日影的器具，圭臬，指標準、法度；③古代量名，一升的十萬分之一。珪衹有圭義①。
12        哈        哈、𨉣        哈本義為張口呼氣、笑聲。𨉣hā本義為𨉣腰來表示禮貌。
13        轟        轟、揈        轟本義為雷鳴、炮擊發出的聲音、轟動、轟炸。揈本義為驅趕，如把貓揈出去。
14        揭        揭、楬        楬衹有楬橥、標明、揭示之義。揭還有揭開、揭露、高舉等義。
15        桔        桔、㮮        桔本義①桔jié梗；②桔jié（㮮）槔；③桔jú子。㮮衹有桔義②。
16        痢        痢、鬁        痢本義①痢疾；②瘌痢。鬁衹有鬎鬁（瘌痢）之義。
17        溜        溜、霤        溜本音①liū，義為滑行、溜走之義；②liù，義為急流（如河水溜很大）、行列（如一溜三間房）、順房檐滴下來的水（如檐溜）、屋檐上安裝的雨水用的長水槽。霤衹有順房檐滴下來的水（如檐霤）、屋檐上安裝的雨水用的長水槽之義。
18        籠        籠、儱        籠本音①lóng，義為養鳥、蟲的器具、蒸東西的器具；②lǒng，義為籠罩、箱籠、籠統。儱衹有儱侗（籠統）之義。
19        樓        樓、蔞        樓義為房屋、房屋的一層。蔞lóu義為䒷蔞。
20        壚        壚、罏        壚義為黑色的堅硬的土。罏義為舊時酒店裏安放酒甕的土臺子，亦指酒店。
21        糜        糜、𪎭（穄）        糜本音①méi，𪎭同穄，義為和黍同類的谷物；②mí，義為粥、糜爛、糜費。
22        氓        氓、甿        氓本音①méng，古代特指外來民；②máng，流氓。甿衹有氓義①。
23        莫        莫、鏌        莫有不要、沒有、莫逆之交、不能、姓氏、莫邪等義。鏌衹有鏌鋣yé（同莫邪，古代寶劍名）之義。
24        努        努、𢭵        努有努力、因用力太過而使身體內部受傷之義。𢭵有突出之義，如𢭵嘴。
25        膀        膀、胮        膀本音①bǎng，肩膀；②páng，膀胱；③pāng，浮腫，如臉有點膀。胮衹同膀③。
26        佩        佩、珮        佩義為佩帶、佩服、古代衣帶上佩帶的玉飾（如玉珮）。珮衹有古代衣帶上佩帶的玉飾（如玉珮）之義。
27        劈        噼        劈義為劈開、正對著（如大雨劈頭而下）、雷劈、尖劈、劈啪聲。噼衹有噼啪（劈啪）聲之義。
28        剽        剽、慓        剽piāo義為掠奪、剽竊。慓piāo義為輕捷，如性情慓悍。
29        鉗        鉗、拑        鉗義為夾東西的用具。拑義為用東西夾住。
